id,ime
10101,potresi
10201,poplavljanje morja
10301,poplave ob vodotokih
10302,poplave ob stoječih vodah
10303,"poplave zaradi dviga podtalnice, kanalizacijskih vod"
10304,poplave meteorne vode
10401,"plazovi, udori, zdrsi, podori zemljin in kamnin"
10402,snežni plazovi (ne v zvezi z nesrečami v gorah)
10501,snegolom
10502,"padanje snega, ledu in ledenih sveč s streh"
10503,prekomerna obtežba strešnih konstrukcij zaradi teže snega
10601,toča
10801,vetrolom
10901,udari strel (brez požara)
11001,žledolom
11002,"zaledenitve streh objektov, odtokov zaradi ledu"
11101,pozeba
11201,suša
11301,hud mraz
11401,"huda vročina, vročinski val"
11501,prekinitev prometa
11601,človeških bolezni
11602,živalske bolezni
11603,"bolezni, ki se prenašajo iz živali na ljudi in obratno"
11604,rastlinske bolezni
11605,namnožitev škodljivcev (žuželke...)
11606,pogini rib brez jasnega vzroka
20101,nesreče v gorah
20201,ogrožanje ljudi in stvari
20202,napad živali na ljudi ali stvari
20203,napad živali na živali
20301,"nesreče pri športnih, rekreativnih in adrenalinskih aktivnostih"
20302,"nesreče pri ostalih nešportnih aktivnostih (gobarjenje, ...)"
20401,okvare oz. poškodbe žičniških naprav in opreme
20402,nenačrtna zaustavitev delovanja žičnic 
20403,padci ljudi z žičnice
20501,delovne nesreče
20502,nesreče v rudnikih in kamnolomih
20503,"nesreče pri ostalih aktivnostih (reševanje iz višin, globin...)"
20601,reševanje obolelih (tudi helikopterski prevozi med bolnišnicami)
20701,nesreče v jamah in breznih
20702,reševanja in dvigovanja živali iz jam in brezn
20801,nesreče ljudi na in v vodi
20802,nesreče živali na in v vodi
20901,pogrešane osebe
20902,pogrešane živali
20903,"pogrešane stvari (plovila, letala)"
30101,prometne nesreče
30201,trčenja vlakov
30202,trčenja vlakov s prometnimi sredstvi cestnega prometa
30203,vlak povozil ljudi
30204,vlak povozil živali
30205,iztirjenja
30301,nasedanje plovil
30302,trčenje plovil
30303,potopitev plovil
30401,nesreče zračnih plovil
40101,Stanovanjske stavbe
40102,Nestanovanjske stavbe
40103,Objekti transportne infrastrukture
40104,"Cevovodi, komunikacijska omrežja in elektroenergetski vodi"
40105,Kompleksni industrijski objekti
40106,Drugi gradbeni inženirski objekti
40201,požari na sredstvih cestnega prometa
40202,"požari na delovnih, kmetijskih in gradbenih strojih"
40203,požari na sredstvih železniškega prometa
40204,požari na sredstvih zračnega prometa
40205,požari na sredstvih vodnega prometa
40301,požari na gozdnih in grmovnih površinah
40302,požari na obdelanih površinah
40303,požari na travniških površinah
40304,"požari na smetiščih, odlagališčih"
40305,drugi požari v naravi oziroma na prostem
40401,požari v komunalnih in drugih zabojnikih
40501,eksplozije na prostem
40502,eksplozije v objektih
40503,eksplozije prometnih sredstev
40504,eksplozije v zabojnikih
50101,sproščanja nevarnih plinov
50102,zastrupitve zaradi plinov in tekočin
50201,"nesreče z nevarnimi snovmi v industriji, industrijske nesreče"
50202,nesreče z nevarnimi in drugimi snovmi v stanovanjskih in drugih objektih
50203,"nesreče z nevarnimi in drugimi snovmi v naravi, prometu"
50204,ljudje kot neposredni vzrok onesnaženja
50205,druga onesnaženja okolja in posegi v okolje
50301,prekomerna onesnaženja zraka
60101,izredni dogodek v NEK
60104,druge radiacijske nevarnosti
60301,teroristični napadi
60303,množične migracije
60305,druge oblike množičnega nasilja
70101,minsko-eksplozivna sredstva
70102,strelivo
70103,letalske bombe
70104,morske mine
70105,rakete
70201,s pitno vodo
70202,z električno energijo
70203,z energetskim in drugimi plini
70204,javnih telekomukacijskih storitev
70301,objekti
70302,transportna infrastruktura
80101,tehnična in druga pomoč
80102,prevoz pitne vode
90101,"samo izvoz, intervencija ni bila potrebna"
90102,lažna prijava dogodka
